Title,Stars,Review Text
Amjad Khan, 4 stars ,Excellent place for groceries I must say.
Wajid Ullah, 4 stars ,Nice shopping center have multiple items. However consist of narrow passage ways.
faisalshiraz chaudary, 4 stars ,Most branded cosmetics are available here
"Dear Zindagi Dream,Hope,Life", 5 stars ,bcz all thngs r available here
Atique Awan, 1 star ,I got robbed.  I bought a ps4 card which costs 3500 rs. It turned out that it expired 2 months ago.
Khan G, 5 stars ,sulphur is very beautiful place Alpha is very beautiful place
A Madni, 5 stars ,Good store. You get major grocery and other goods here
anny naveed, 5 stars ,Good as always
imran chohan, 5 stars ,Best store
Nasir Ali Sher, 2 stars ,Total ripoff. Gree dispensers price at Friends Home was 22000 Rs but the same was 31000 Rs at Al Fatah. Even the price of retail items like Rafhan cooking oil was priced 300 Rs extra
Manzar Qureshi, 1 star ,Great. Quality at reasonable price.
Xainab Khan, 1 star ,"Alfateh used to be very good store before but now it's no more because all the sales man there sitting at the counter has started charging higher prices than written on product. Further more they have done something wrong with the payment through card, they're deducting more"
Faiza Sindhu, 3 stars ,"Their crockery Department is better than others.. toys Department is good too.. but grocery store lines are poorly managed, even the salesmen do not know where are the items placed.. grocery alleys are congested two trolleys can not cross simultaneously. .and yes kids clothes are expensive here."
Ahmad Shihaam Jaffar, 1 star ,Ps4pro is too expensive for 85900rs.
Aslam Pervaiz, 4 stars ,Standardized product and food
Hassan Jaffary, 4 stars ,"A huge store with all the variety of stuff including household items, groceries, frozen items, fresh and dry friuts and even clothings. Both local and imported variety of items. The kitchen accessories are also great with a massive collection of utensils and crockery. The rates are a bit towards higher side but then maybe its because they mostly hav the imported stuff. Overall good standard."
Maarij Abdullah, 2 stars ,"Over priced and fake; perfumes and products are not recognized by their authentic websites.

Absolutely not worth it."
imaam afzal, 5 stars ,"The best departmental store in Islamabad. They have got almost all varieties of goods. Local products and imported commodities. Daily home need products, food and beverages, cosmetics, toys, wrist watches, cutleries,  home deco, home appliance, fitness products, pet food, frozen goods, nuts and cereals, bread and pastry, fruits and vegetables, meat products... and many more.

The beat part it staff corporation. Good mannered, enthusiastic batch of staff.

They take shopped items to your car as well"
Leena Ajaz, 5 stars ,Good grocery store
Habeeb Khan, 5 stars ,Everything is available here. You name it and you get it.
Ms. Munir, 3 stars ,Extra expensive
Muhammad Shoaib, 5 stars ,Best place for shopping in centaurs
Shoaib Ashraf, 4 stars ,Nice place different stuff but prices are high
Imrana Amir, 4 stars ,"Good place to buy each and every household item. Cosmetic, toy, garments, stationary, laudary, fresh vegetables and fruits, chocolates, water, drinks,legumes, dairy items, electronic appliances, clothing etc everything is available under one roof. A little bit expensive but worth it to get variety and quality."
Asif Jalees, 4 stars ,Pretty good store with branded stuff. But expensive.
Abdul Rehman, 5 stars ,Good place for shopping & grocery
khawer nasrullah, 5 stars ,Amazing mind-balowing place for every thing shoping
Abu Bakar Abdullah, 4 stars ,Nice store...bit conjusted
Abdur Rehman Khawaja, 4 stars ,Good place for groceries
Aainaa Ali, 5 stars ,Best place for groceries and other items
hammad akram, 4 stars ,it's a good store for grocery and other items
Fida Shah, 5 stars ,Everything is available and staff is very helpful.
Nouman Durrani, 5 stars ,I love this place. All products are wonderful with effective services.
Azhar Ahmad, 3 stars ,You can get a lot of imported stuff here. But its soo deep in centauras and you have to carry your monthly grocery all the way to parking in handbags.
waniya haniya lovely sisters, 5 stars ,Best grocery  store. Cometics r good
Asif Manzoor, 1 star ,They started to give fake perfumes in original prices and they don't return.disappointed!
Akif Rana, 3 stars ,Overpriced overpriced overpriced
Ichiro Kioshi, 2 stars ,"There is nothing cheap about Al Fatah. Those of you who wonder how they make money when they have so much of those imported items in a ""save mart""? Well, that's coz a lotta people don't know how much these imported things actually cost. …"
Yasir Bin Farooq, 5 stars ,Best cash and carry for some items that are not usually available in normal market...
Mrs Nabeel, 4 stars ,We can get a good variety
Amar Osmani, 5 stars ,Probably the only qualitative mart in the twin cities left. Rest of the places have resorted to substandard stuff. AlFatah has some surprises left still. Good stuff. A bit pricy but then...what is not these days?
Mujeeb Ahmed Khan, 3 stars ,Ok not good expensive
Adil Rajput, 5 stars ,Experience was great every thing is available but little bit expensive
Khan Fawad Ali, 4 stars ,Very nice super store. Quality of products is very good.
Muhammad Azam, 2 stars ,Poor customer care after sales service
Bazee Memon, 5 stars ,Shopping is Good
World Art, 5 stars ,Good place
Khalid Piracha, 5 stars ,I'll give five stars for being an awesome place for shopping.. mad shopping!!!😛
Birds info, 5 stars ,Nice place for grocerry shopping
Fareed Rais, 5 stars ,A good place to shop. A bit slightly prices are high as compare to other stores but overall they have everything u need for daily use.
Zeeshan Mustafa, 5 stars ,"After green valley market, you can have high quality and imported items here. Keep this thing in mind that if you want local items which you are sure that are available at normal grocery stroe, don't buy. They are expansive. Local items can …"
Zain Rehman, 2 stars ,Congusted atmosphere
Asif Bari, 5 stars ,Replacement shoping bag. Customers r shoping havy ammount . but not paying a shoping bags
Mahammed Zishan Khan, 2 stars ,Service is good but it doesn't have any products of the bigger brands(Nestle for example).
Imtiaz Ali, 5 stars ,Place is awesome woth huge good variety... however after sale support service w.r.t. electronic items is not upto mark...
Bliss Electronics, 4 stars ,Very nice place for all type of purchases
Ruqiya Khan, 5 stars ,Outstanding 👍
rubina faisal, 5 stars ,Always enjoy shopping here
Faysal Ishrat, 4 stars ,"Always one of the best places to shop for Grocery and electronic items.
Prices are generally lower than market rates. Staff is very helpful.

Variety of electronic items needs improvement, very understandable that it's poised in a shopping mall so space constraint is there."
Khawaja Usama, 5 stars ,All in under one roof
Midhat Ahmed, 4 stars ,Nice variety but area is small
MA Kahoot, 5 stars ,Nice supermarket
Muhammad Zahir, 5 stars ,Good store with quality products
Faisal Naveed, 4 stars ,Not much but expensive
Obaid Ullah, 5 stars ,Variety of products at reasonable rates
Shafiq Danish, 5 stars ,Highly recommended if you looking for imported items as well.
Syed Salman Mehdi Kazmi Mosvi Mush'hadi, 5 stars ,"Nice, clean place,branded products are available here. Many shops have expensive items but lavish."
THE BRIDGE Tutoring, 4 stars ,Fine super store in Islamabad. Rates are nominal but not the best. For best rates must visit Metro or MCC in g-9
Ahsan Meer, 5 stars ,The best store there is with a lot of variety of imported items.
saravana pragash, 5 stars ,All kinds of international brands available
Sana Nazir, 5 stars ,Our go to grocery store
Umar Shafeeq, 3 stars ,Product prices are marginally high here. Even they are charging prices more than written specially of basic commodities.
Omar Farooq, 5 stars ,Excellent
John Adams, 5 stars ,Awesome
Samana Syed, 1 star ,Irresponsible staff and unreliable delivery service. My order hasnt reach me yet (23 hours) and the staff is Not taking my call and not cooperating
RAJA farhan, 5 stars ,Great
Shoaib Kayani, 5 stars ,Good
Faizan sAAmI, 4 stars ,"Lot of verity, price is good"
Mubashir Javed, 5 stars ,Get whatever you need
ahmad ali, 1 star ,Toooo much expensive
fias malsi, 4 stars ,I couldn't find Philip's classic hard iron on two visits.
Mariam Saeed, 5 stars ,Discipline was good
Usman Ghani, 5 stars ,V amazing product's
Syed Kumail Raza, 5 stars ,So beautiful ❤️ I Love it my favorite
Najam Jawa, 4 stars ,Good variety big rush
Zia Ul Islam, 4 stars ,Always convenient  to shop.
Kamran Rao, 4 stars ,"Good variety and price. You can get anything from daily grocery to cosmetics, electronics, clothing accessories, crockery, toys etc..."
UMAR Farooq, 5 stars ,Everything here... At alfatah islamabad
Ahsan Hameed, 5 stars ,A very good store
Rosheen Anwar, 3 stars ,Good variety of crockery and house decorations. A little expensive but mostly the items they have can't be seen in local market. One issue i faced is that they don't allow trolleys to be used for mall. So you can't shop here n roam in the mall you have to visit it in the end. Lol
Safdar Abdul Qayyum, 5 stars ,A mall known for grocery and electronic items.
shenaaz vanker, 5 stars ,Can find anything in this store
Zeeshan Khalid, 5 stars ,Very neat and clean Mart. Awesome variety. Staff is available for assistance.
Sajjad Rizvi, 5 stars ,Very nice selection of good
Mohsin Shabbir, 5 stars ,Good place to buy branded things mainly grocery
umer mushtaq, 5 stars ,Good place.. Very economical for the things you dont get easily in local stires..
Ms. badar, 1 star ,Pathetic experience. I use to buy cosmetics from them n this time all products were with out seal n bar code. Even they tried to sell me tester mascara which luckily i found on counter. On complain they call it might happen with mistake. N same thing happen with friend.
Ali Nouman, 5 stars ,It's very good much better than pathetic metro. The prices of Imported items are also reasonable. I will surely recommend them. Great work.
Ozair Khan, 4 stars ,No shopper / bag even you shop around 20k stuff bad
B Qureshi, 5 stars ,Good staff.
Kashi Malik, 4 stars ,It's not costly
Yousaf Shah, 3 stars ,Some items are very expensive but you can find alot of things here which are not available in other super stores
Ranjhu Tv, 5 stars ,All is available in one place.....
Sabeen, 5 stars ,"I liked shopping there, but i had to carry a big 5kg packet myself to the car, which was really exhausting, it will be great if they allow shoppers to take their stuff out in the trollies."
Tariq Hayat Khan, 5 stars ,Everything under one roof
Zubair Ahmed, 5 stars ,Low quality in grocery items rest it has everything metropolitan mall should have!!!!
Muhammad Muzammil, 5 stars ,Al Fatah has many groceries and many croceries and decoration pieces but the prices are high as things are imported.
Muhammad Awais, 1 star ,Rates are far higher than normal markets.
Yousha's Lifestyle, 5 stars ,"I loved it,it was a place to visit for everyone"
JR, 5 stars ,Great store with reasonable prices. Good experience.
syed muzzamel, 5 stars ,Huge store what you have required than go in Al FTAH
Aamir Malik, 4 stars ,Cash and Carry Store at Centaurus Mall Islamabad with big variety of daily use articles.
Uzair Qureshi, 5 stars ,Best place to shop but a little bit expenssive
Omar Anis, 4 stars ,"Good departmental store, groceries, exercise equipment, crockery, electric home appliances, makeup, perfumes, dog/cat essentials, clothing, and much more.
Located in centaurus mall, so parking is a hassle, see my post on centaurus mall."
Irshad khan, 4 stars ,Very well behaved sales department.
Danyal Muzaffar, 5 stars ,"Great, loved it"
The Third Dimension, 2 stars ,Alfateh must need to wider its area.
Omair Nabeel, 4 stars ,"Bought a perfume from there, turns out it wasn't authentic."
AMJAD ALI, 5 stars ,Good shoping mart but too many staff members hustled around unnecessarily.
M Jaffar Malik, 4 stars ,Quality products available with good price including all taxes
AJ HUNTER, 1 star ,Groceries are expensive and do not buy dry fruit especially Raisin (kish mish) from this place. You'll find caterpillar like insects in it.
Waqas Riaz, 2 stars ,Average store with high prices.
Asma Sheikh, 5 stars ,Nice place
Abdulmannan Sahar, 5 stars ,Good place
Asmara Nasir, 5 stars ,Best for groceries
Ayman Qureshi, 5 stars ,Best
Sumia Qamar, 4 stars ,All things available under one roof  👌
naaima obaid, 5 stars ,"Great place for regular shopping, or if needed you can shop for imported stuff as well. Very helpful staff and efficient services."
sana shah, 4 stars ,Variety of items available but the prices are too high according to market rate. Imported items also available but prices need to be checked
Malik 92 song Malik 92 song, 3 stars ,Good
Zulikha Waheed, 4 stars ,Very great supermarket. I would recommend getting your grocery from here. Quality is guaranteed. There are people to help and direct you to the stall you ask for.
Hamza Ahmed Khan, 1 star ,Dealt with the most unprofessional staff. They treat you like you are t heir servants. Pathetic experience
Sapper, 3 stars ,It is good and some how economical
Ch Nasir, 4 stars ,Quality products
ana Syed, 4 stars ,Good quality products
Motorway Beuty, 5 stars ,Its inside centaurs Mall
Khalid SaifUllah Khan, 5 stars ,A lot of Variety and good quality products.
nadeem baloch, 3 stars ,Very expensive shopping place.
IBRAHIM FARID, 5 stars ,"Nice Variety of All Grocery Items, but were costly"
Adil Razzaq, 5 stars ,Never visit store like Al Fatah...❤️❤️❤️
Naveed Khan, 5 stars ,Economical & Comfortable shopping experience
TANVIR AHMED, 4 stars ,A LITTLE EXPENSIVE
Random. Pk, 4 stars ,Good Grocers
Junaid Ahmed, 4 stars ,Al Fatah is always good
Usman Barq, 4 stars ,Al Fatah good place for groceries
Billa Muhammad, 5 stars ,Excellent place for household items and grocery shopping.
Amir Abbas, 4 stars ,Grocery and other itemsVery nice place to buy
Abdulsalam Bhatti, 5 stars ,Is very nice
Haider Ansari, 4 stars ,"Has pretty much everything you need under one roof. Groceries, vegetables, fruits, clothes, toys, furniture, fashion accessories, perfumes. And there's plenty of choice too."
M. Irfan Ahmad, 4 stars ,"Excellent, nice and trendy place for all kind of shopping. A leading shoping mall for all kind of peoples. Where you can buy all kind of stuff under one roof.
The all things that is available here up to the mark. Quality is excellent.
Bredend items are available here. Environment is very friendly. Management is also very friendly. Gents, ladies and kids items are avaialble here."
zahra kazmi, 5 stars ,Always a great experience. I prefer Al Fateh over any other store.
Shams Zaman, 4 stars ,"Best place for groceries purchase in Islamabad with quality items. Imported items are available but mostly at exorbitant prices, though in grocery area these are affordable."
Muhammad Abdul Rafey Khan, 5 stars ,One of the best places to buy many items under one roof which includes a good range of grocery items
Boy Political, 5 stars ,Good and wide variety
Noor Fatima, 5 stars ,Too much awesome shopping
skan s, 5 stars ,"Very good shopping store, prices are clearly listed and are good value for money"
Ihsan Khan, 1 star ,Not good
Zain Bin Akram, 4 stars ,Staff is great and they are having a good variety. Even found the prices of some imported groceries to be low than other competitors!
Husban Farooq, 4 stars ,"Best place to buy imported products but staff is not so cooperative, otherwise it's good"
saadia masood, 5 stars ,Best grocery store of town with large variety of local and imported items
NOMAN HABIB, 4 stars ,You will get everything unwant
Fatima Hussain, 4 stars ,"Okay as per everyone's review its a nice place ,a good one may be ... but to be honest it's expensive (if you're so much rich to buy household items and cutlery sets front there, then it's the best option to go as they have Imported items ) but yes for cosmetics you can go for as you will get original items ... so for the people who don't want to waste money you can go to other places it's not the only place on earth having good quality things :) so don't be unthankful and happy shopping :)"
naeem khan, 3 stars ,You can get everything related to your daily life..having very reasonable prices good cooperative staff
hamad ul hassan, 5 stars ,Good
Zia Murad, 5 stars ,Best place to buy imported food items also you can buy quality electronic crockery and exercise machines.
huma tehsin, 4 stars ,Prices are on high side but good place to visit.
Haseeb Rahman, 5 stars ,It was good experience
Numan Akhtar, 5 stars ,The best departmental store in Islamabad. Has every type of household item in different varieties. Best for monthly grocery trips.
Kamran Mushtaq, 5 stars ,Vast variety of all types of products under one roof and cost effective.
Kulsoom Salman, 5 stars ,Always good products
Sajid Awan, 5 stars ,Al-Fatah super market is situated on the ground floor of Sentorus having a large range of quality products both national and international. It offers cheap prices and everything under the one floor.
Muzammil Muneer, 5 stars ,Nice
Abdulaziz Aziz, 4 stars ,It looks like a international store.Very good store for  shopping.prices are little higher. But  can be  trusted for quality.
SHAMS, 5 stars ,A Complete store having width and depth  of commodities.
Waqas Nabi, 5 stars ,Well place for shopping.
Khurram Saeed, 5 stars ,"The best grocery store in Islamabad,  not if u r a fan of Esajees though"
Reemal Arshad Butt, 5 stars ,Everything under one roof
M.Khalique Khalique, 5 stars ,Best cash and carry in Islamabad where you can get almost every thing
Tabassum Malik, 5 stars ,Nice 👌
Waqas Afzal, 5 stars ,Good place to shop
Arish Naseem, 5 stars ,Savior in the shopping mall
Ikrema Hamza, 5 stars ,A superstore with variety of options and focus on imported items due to affluent customer base in the vicinity
Raheel Akhtar Malik, 5 stars ,We lived near this place a very luxurious place for families and bachelors in Islamabad.
Shahid Rafiq, 5 stars ,Amazing
Eesha Khan, 3 stars ,It's okay
Abbas Raza, 2 stars ,Costly in every thing
Shehnaz khan, 5 stars ,One of the best supermarkets
Aamir Feroze, 5 stars ,Best and safe place to buy groceries and other products
Ibrahim Syed, 5 stars ,General store with a lot of options in every shopping  category to buy from. But it is not connected with the al fatah mall in Lahore. This branch is an independent one and does not deal in online shopping through a website.
Muhammad Tahir, 4 stars ,A bit expensive but a good one.
salman aliawan, 3 stars ,Al Fatah is unreasonably expensive on many items.
Awais Aslam, 4 stars ,"One of my favorite shop/mart for shopping perfumes,chocolates and gums.
Best place for grocery shopping.
Almost everything available like kitchen utensils,dry fruits,😮vape😮,cigarettes,cigars,
Massage chairs. Makeup items designer jewelry perfumes for bae😉."
Naveed Syed, 4 stars ,Very good for general household shopping and groceries. Good service
Batool S, 5 stars ,Very good but highly priced
Majid Saleem, 5 stars ,Good place to shop at. However reassure genuineness of few branded items.
Asma Naveed, 3 stars ,A convenient place for groceries and house hold stuff.
Atiq ur Rehman, 5 stars ,Wonderful 😊 experience as always
maryam economics, 5 stars ,Everything is just so reasonable nd there is a large variety of every stuff
Jamshaid Bajwa, 5 stars ,Good luck super mall
kamran siddiqui, 4 stars ,Very good product specially in imported items.
Hina Naveed, 5 stars ,Best place for shopping
Muhammad Khalid Khan, 4 stars ,Excellent home store with good quality home decore kitchen and electronic accessories with a fixed price.
sherjil khaliq, 3 stars ,Expensive
Muslim Pakistani, 3 stars ,Wastage of precious foreign exchange is rampant here. 99% imported items and just 1% made in Pakistan items.
sajid aslam, 4 stars ,Good quality grocery available
Khalid Jappa, 5 stars ,Very nice place
SdAd, 5 stars ,One stop shop for all your needs
Imran Ali Akbar, 5 stars ,Good clean place to work
Khalid Anwar, 4 stars ,You will find all things u need from here
Umar Naeem, 5 stars ,One of the best all in one store in centaurus mall islamabad
Sarwar Jamal, 4 stars ,Wide variety but little expensive.
Misbah Shahid, 3 stars ,Good store with a variety of products in a affordable prices. The staff at the counter is arrogant. The guards are rude and use abusive languages. The customer complaints never entertained by manager.
WAQAR AZEEM, 3 stars ,Really expensive
Tariq Zia, 4 stars ,"Exotic store to buy anything from household to clothes, perfumes, grocery etc"
ikramullah mohmand, 5 stars ,One can get almost anything from Al-Fateh that is used in routine.
Jiya Syed, 5 stars ,Amazing...love love love
Ali Omer, 4 stars ,good place
ツKab20, 5 stars ,Great experience
Amir Farooqui, 5 stars ,Very good place for shopping. U can get good quality their.
Hassan Karim, 4 stars ,Loads a things to choice great place for shopping
roblox fantastic three, 4 stars ,A nice store but prices are on higher. Side
Samia Azrab, 5 stars ,Good place
Ibrahim Suhail, 4 stars ,Price are reasonable
Tahir Malik, 5 stars ,Good
Jeeno, 3 stars ,Overpriced superstore
Muhammad Asif, 5 stars ,Good place to shop.
Ather Iqbal, 5 stars ,Shopping at best
adi khaan, 5 stars ,"Really good place to shop, with friendly and polite staff. Good range of food options to choose from as well as household items, such as dishes etc."
2001_ Hawra Gharvi, 2 stars ,Good
Sufi Muhammad Asad, 5 stars ,I like their services
Zarah Yousaf, 4 stars ,"A nice mart ,almost everything is available, good guality and can find items not easily available at other marts."
Rabiya Khan, 1 star ,"It's extremely mismanaged, the sales girls and boys keep talking amongst themselves instead of helping customer. Today I saw a sales girl fileing her nails in the infront of a display, least bothred about the customer, blocking the customers way. Knowing that they would have a lager number of customers the don't open more checking out counters."
Asif Jah, 5 stars ,"bit costly, but you can find many imported stuff, perfumes, eatables, crockery, sports etc...."
mohsinraza 313, 1 star ,Its very expensive
omer asad, 5 stars ,Ease of shopping.
amjad kayani, 4 stars ,Worth shopping
Tahir Pasha, 5 stars ,good for shopping
Zakir Raza, 4 stars ,Must vist for home shoping
Adnan Shah, 5 stars ,Nice place for shopping
Muhammad Ali Malik, 4 stars ,"I like this place
Approx all items are included"
Jawad Ali, 4 stars ,One stop shop for everything
Muhammad Ahmad Ibn E malik, 5 stars ,🔥
Imran Ul Haque, 1 star ,Fake sale
Fayyaz Ali, 5 stars ,Nice place to shop
Riaz Ahmad, 5 stars ,Good place but expensive
Mohammad Asim Qayyum, 3 stars ,Prices on the higher side cramped space
Manahil Chaudhary, 1 star ,"Worst customer service ever, never have seen such rude manager and shopkeepers, the behaviour was extremely rude. Don't know much about the prices but due to bad customer service I wouldn't recommend it to anyone"
"Tabin Bhatti &Aima Bhatti Fun,Info,Entertain", 5 stars ,Nice
Aneeqa Ibrahim, 5 stars ,Loved it. Convenience and comfort at one place
ambreen saddiqui, 4 stars ,All the household items are available in one place.  Especially food and beverages.
SA LT, 5 stars ,"Good place for shopping and u can get almost all verity of stuff, drinks and foods"
Khan Leo, 5 stars ,"It's Cash and Carry where you get some discounts for your home Grocery, Cosmatic, Garments etc"
M shahid, 5 stars ,Nice store
rizwan ghouri, 4 stars ,Product range is very good and service is very efficient
Rehny Dy, 5 stars ,Amazing place for household goods and other groceries
Ayyaz Hameed, 5 stars ,Good grocery store
Abdul Mutaal, 4 stars ,Good grocery store
Asif Raja, 5 stars ,Has almost everything I need
Humxa Mehar, 3 stars ,Good.
Naveed Akram, 4 stars ,Nice mart but expensive
Fawad Ali, 5 stars ,Great store and good choices.
Shawn dee, 5 stars ,Very expensive
Syed Rehmatullah Jillani, 4 stars ,Very costly
محمود بن کفیل, 3 stars ,Nothing special about this place. Couple of years back it was too good.
Mohammad atif pasha, 5 stars ,On stop shop . And pretty reasonable as well
GUY VIEWS, 5 stars ,All amenities available with reasonable prices
zubair Mirza, 2 stars ,Extremely expensive. well if you are filthy Rich then it isn't that expensive.
Maham Tahir, 5 stars ,easy to get all types of things
Dr Muhammad Zahid, 3 stars ,Good
Huma Arif, 5 stars ,Good super market and quality of products r nice and lots choices
Elif Beauty Saloon, 4 stars ,Nice
Mera pakistan, 5 stars ,Looking good
Muhammad Jamshed, 3 stars ,Good quality but at high rates
Noman Aslam, 5 stars ,Good
Maliha Khalid, 5 stars ,Loved this place
Asad Shah, 5 stars ,Good Environment
Faisal Khan, 4 stars ,Good very good everything I found In 1 roof
Fahmeed Shaukat, 4 stars ,That was awesome
Hanzla Haroon, 5 stars ,Everyday life goods + vast range of products + good collection of chocolates + cleanliness + good staff behaviour
easy chemistry by M. Tahir, 1 star ,Third class material and cheap quality things
Bang Aris TV, 5 stars ,Good choice of supermarket in Islamabad centaurus mall
Muhammad Wasim, 5 stars ,All kind of home items and kids items
usama rao, 5 stars ,Super duper
Zeeshan Ahmad Ain, 5 stars ,Nice place
Umer Farooq, 5 stars ,really great experience
Zayid Ali, 5 stars ,it was good
Mehwish Gulzar's kitchen, 5 stars ,Sale found owsom
ILSA NOMAN, 4 stars ,As good as always... each n every single stuff is available under one roof with excellent rates
Sidra Tayyab, 1 star ,Bought treadmill and they promised next day delivery. But after calling so many times they are not responding. Couple of days passed
Muhammad Mansoor Hayat Baig, 3 stars ,Expensive from local market
rashda khan, 5 stars ,"Great place for grocery home needs exercise machines n kitchn machines home decor kids toys.. makeup n perfumes.. cabinets n drawers.grills.
Professional staff.
Home delivery worth transport charges available. Staff come along to deliver and unbox n fix the stuff at home.
Khawar bhai at cabinets section and sattar bhai on counter are very helpfull n professional"
Babar Yousafzai, 3 stars ,Good shoping but a bit expensive as compair to other shops of its kind in the city.
Nadeem Ishaq, 4 stars ,Good wide range of products.
Abbas Majeed Khan Marwat, 4 stars ,A good place to find all things under one roof !
Fater Manan, 4 stars ,One of best grocery store in town
Muhammad Mazhar Sharif, 4 stars ,Well managed super Store in the iconic Centaurus
Sarosh Iftikhar, 5 stars ,Probably the best store in twin cities
Nosheen Nasir, 5 stars ,"Great variety of luggage, crockery, decorations, cosmetics and groceries ranging from the most expensive imported brands to the local economical items."
Bilal Rehman, 1 star ,V bad
tauseef khattak, 5 stars ,Awesome
usama khan, 4 stars ,Buy everything but bit coast high
Muhammad Aamir, 5 stars ,"Good for groceries, imported stuff also available"
solafa aslam, 5 stars ,I love it here cause i get every imported thing here and so awsome as if its my room so comfort😉😉😉😉😉😉😉😉😉😉😉😉😉😉
madeeha nazar, 5 stars ,"Great grocery store with crockery , home appliances and decor"
Doc Salman, 4 stars ,Great place for shopping to find plenty of variety and good price for food
Babar Hassan, 5 stars ,One of the oldest departmental stores in the country comes to Islamabad with all the bells and whistles.
Bilal Awan, 5 stars ,Al-fateh Mall is in centaurus. They have got grocery items crockery and a lot of different stuff
Dawood Durrani, 4 stars ,Departmental store at super market
Muhammad Umar Aslam, 2 stars ,Very expensive
Kashif Afridi, 5 stars ,Good place
Waseem Ashraf, 5 stars ,The variety is immense and you can find almost everything under one roof. Highly recommended.
saba haider, 5 stars ,A nice place to get numerous th8ngs under one room...of there are exceptions!!
Farrukh Mairaj, 4 stars ,"Good place for shopping groceries at your ease, crockery, utencils etc.etc."
Usman K, 4 stars ,"Don't listen to other reviewers, I've found them to be cheaper than your local ""karyana"" stores and other supermarkets.

Good range of products. I wish they had more space so the range could be even better. I trust this store for my regular supply of Kudari dates and Arabian Halawa.

The home range is also pretty good. Products to suit every pocket. Crockery and kitchen items variety blows my mind. My preferred supermarket in the twin cities by far. Wish they had a location outside of the mall."
Muhammad Ali, 5 stars ,One of largest and best supermarket in Islamabad much more than just groceries
Sobia Omer, 4 stars ,"Everything available under one roof. Grocery, clothing, toys, cosmetics, decorations, perfumes,furniture etc"
Javed Ahmed Samtio, 4 stars ,Good experience
Muhammad Habib, 5 stars ,Be aware of expiry. Most of the products are near to expiry.
nurulain alizai, 3 stars ,Expensive
Shaikh Bilal Maqsood, 5 stars ,Nice store
Aftab Khan, 4 stars ,Large superstore with almost everything you need. Slightly upscale with definitely upscale prices.
Aizah Zubair, 5 stars ,Love it
Dr Adeel Husnain, 4 stars ,Good store
Adil Rizwan, 4 stars ,Awesome
Imtiaz Ahmad Chaudhary, 5 stars ,Great store with lots of variety of quality products.
Muhammad Munir, 4 stars ,Great for shopping but expensive.
Nusrat shah, 5 stars ,"All under one roof. Best for shopping, bit expensive but good quality."
LMAC, 3 stars ,In centaurs mall its good in grocery and ladies items
shahid soomro, 2 stars ,Every thing available..
Safdar Hussey, 3 stars ,Extremely expensive!
Zabih Ullah, 1 star ,Because there are not a lot options
AN Official, 5 stars ,"Excellent level of professionalism
Lost my zong device in store and next day device was returned"
Syed Taiq, 5 stars ,Good mall
Muhammad Naeem, 4 stars ,Nice supermarket for home appliances and grocery
Hannan Ishfaq, 5 stars ,"Gud quality crockery, decoration and electronics"
biya 514, 5 stars ,Love the place
Amir Abbas, 5 stars ,Good place for grocery and general use household items.
Syed Asim, 3 stars ,Everything is available at ok prices
Umer Alvi, 5 stars ,Very good
Umer Nawaz, 3 stars ,It is too much expensive
Tabrez Khan, 5 stars ,All under one roof to buy household Things .
Farooq Mansoor, 5 stars ,Excellent.  A whole city at finger tips.
Saleem Abbas, 5 stars ,good point all in one
Naeem Shehzad, 5 stars ,Best store in city. Almost everything you get especially imported.
M Umair, 4 stars ,A wonderfull Store for daily household items..
Farhan Javed, 5 stars ,All things available
Muhammad Tariq, 4 stars ,offers all you need to buy for home...I rate it 2no. after Metro CC
Amber Batool, 1 star ,An upmarket and a few things are very expensive and not of good quality.
amjad khan, 4 stars ,Good place to buy groceries and much more at cheaper rates.
Arsalan Ijaz, 4 stars ,Good shop. All items are a available especially food items. But price is bit high.
Wajeeha Zainab, 1 star ,Pathetic
W T, 4 stars ,Recommended for groceries and electronics
Abdul Hanan, 5 stars ,Best for shopping
Aziz Ur Rehman, 5 stars ,My favorite store to buy quality products
Yabka Kundi, 4 stars ,Very poor quality dry fruits and the staff is uncooperative.  Not all payment counters are open.
Rizwan Mogal, 5 stars ,Awesome
Raees Tariq, 5 stars ,Alfateh Store in centorous mall
Shahid Mehmood, 5 stars ,Nice place
Muaaz Bin Mukhtar, 4 stars ,"Good store
Almost everything is available"
Amjad Jamshaid, 3 stars ,costlyb store
Adnan Abbasi, 5 stars ,Located on ground floor it is one of the best and cheapest supermarket of islamabad...
Aamir Ejaz, 3 stars ,Everything available except electronic items
Mohsin Khan, 5 stars ,"All Fateh mall is a very big shopping mall,consist of crockery, grocery, jewelery,toys for baby,every day used things like soap, shampoo etc, I think that every kind of goods are available here in this mall."
Sabah Ahmed, 4 stars ,"Good  stuff. Kids toys, furniture and crockery overpriced though."
iy leo, 5 stars ,Always a good place to shop quality
Muhammad Sami, 5 stars ,"An huge grocery.
You can buy all types of commodities."
Atif Zafar Shaikh, 5 stars ,Good for shopping
The Kitchen Ninja AKA Faiza Khurshid, 5 stars ,Amazing
Khurram Yaqub, 5 stars ,Nice store with vast assortment
Sundas Naeem, 5 stars ,Another home 🤩
Mohammad Irfan Khan Sadozai, 4 stars ,Good variety routine use products
adnan younas, 4 stars ,Liked it. Expensive
Abid Ali Khan, 4 stars ,Top line shopping if at Centaurus
